Price,Address1,Address2,Room,Shower,Car,Size
"Forthcoming Auction $500,000 - $550,000","12C/168 Victoria Road,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,NG
Auction,"1/6 Inga Court,",CHADSTONE VIC 3148,3 Beds,1 Bath,2 Parking,NG
"$399,000 - $435,000","1/49 Bellarine Highway,",NEWCOMB VIC 3219,3 Beds,1 Bath,1 Parking,340m
"$439,000","702/179 Boundary Road,",NORTH MELBOURNE VIC 3051,2 Beds,1 Bath,1 Parking,NG
"$729,000","202/7-9 Cowra Street,",BRIGHTON VIC 3186,2 Beds,2 Baths,1 Parking,NG
"$500,000 - $550,000","103/286-290 Blackburn Road,",GLEN WAVERLEY VIC 3150,2 Beds,1 Bath,1 Parking,NG
"480,000-500,000","1/62 Brunning Rise,",WOLLERT VIC 3750,3 Beds,2 Baths,1 Parking,NG
"$520,000 - $550,000","66/1501-1503 Malvern Road,",GLEN IRIS VIC 3146,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"4/60 Yarra Street,",HEIDELBERG VIC 3084,2 Beds,1 Bath,1 Parking,NG
"$590,000 - $640,000","3/84 Warrigal Road,",PARKDALE VIC 3195,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $510,000","5/49 Hotham Street,",SEDDON VIC 3011,2 Beds,1 Bath,1 Parking,NG
Brand new for sale,"3604/8 Pearl River Road,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,NG
"$585,000","713/3 Yarra Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,NG
"$509,000","5B/42 Clarendon Street,",THORNBURY VIC 3071,2 Beds,1 Bath,1 Parking,NG
"$265,000 - $285,000","1/31 Ridley Street,",ALBION VIC 3020,2 Beds,1 Bath,1 Parking,NG
"Private Sale $565,000 - $600,000","3/519 Hampton Street,",HAMPTON VIC 3188,2 Beds,1 Bath,1 Parking,NG
"$950,000 - $1,045,000","11/786 Esplanade,",MORNINGTON VIC 3931,2 Beds,2 Baths,1 Parking,NG
"$460,000 - $490,000","2/39 Kiora Street,",ALTONA MEADOWS VIC 3028,2 Beds,1 Bath,1 Parking,NG
"$510,000","107/35 Tennyson Street,",HIGHETT VIC 3190,2 Beds,1 Bath,1 Parking,NG
"$660,000-$680,000","2/36 Thornton Street,",MACLEOD VIC 3085,2 Beds,1 Bath,1 Parking,NG
"Private Sale $629,000","205/137-143 Noone Street,",CLIFTON HILL VIC 3068,2 Beds,2 Baths,1 Parking,NG
"$490,000 - $539,000","4/24 Sherwood Avenue,",CHELSEA VIC 3196,2 Beds,1 Bath,1 Parking,NG
"Private Sale $635,000","107/82 Canning Street,",CARLTON VIC 3053,2 Beds,2 Baths,1 Parking,NG
"$595,000","209/21-25 Nicholson Street,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"Private Sale $485,000","5313/185 Weston Street,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"1711/45 Haig Street,",SOUTHBANK VIC 3006,3 Beds,2 Baths,2 Parking,NG
"$720,000-$760,000","408/87 Mount Street,",HEIDELBERG VIC 3084,2 Beds,2 Baths,1 Parking,NG
"$545,000-$565,000","8/2 Alfriston Street,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,NG
"$535,000 - $575,000","607/18 Malone Street,",GEELONG VIC 3220,2 Beds,1 Bath,1 Parking,NG
"$590,000 - $620,000","102/3 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$489,000 - $519,900","705/338 Kings Way,",SOUTH MELBOURNE VIC 3205,2 Beds,1 Bath,1 Parking,NG
"$395,000 - $405,000","3/5 Meek Street,",WERRIBEE VIC 3030,3 Beds,1 Bath,1 Parking,178m
"$675,000","207/13-15 Hamilton Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,86m
"$675,000","207/88 Dow Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,NG
"$695,000","613/45 Haig Street,",SOUTHBANK VIC 3006,2 Beds,2 Baths,1 Parking,NG
"$750,000","114/9 Waterfront Place,",SAFETY BEACH VIC 3936,2 Beds,2 Baths,2 Parking,NG
